PLAYER;TEAM;AGE;HEIGHT;MINUTES;PAINT_FGM;PAINT_FGA;PAINT_FG%;MR_FGM;MR_FGA;MR_FG%;3_FGM;3_FGA;3_FG%;FTM;FTA;FT%;PPG;OREB;DREB;AST;TOV;STL;BLK;DRIVES;POSTUPS;CATCH_SHOOT;USG%;PIE
Mason Plumlee;DEN;30;6'11;17.3;2.8;4.5;0.622;0;0.2;14.3;0;0;0;0.1;0.3;56.3;7.2;1.6;3.6;2.5;1.3;0.5;0.6;1;2.4;0;17.3;12
Matisse Thybulle;PHI;23;6'5;19.8;0.9;1.5;0.6;0;0.2;16.7;0.9;2.5;37.075;0.1;0.2;50;4.7;0.7;1;1.2;0.8;1.4;0.7;1.7;0;2.3;10.8;4.4
Matt Mooney;CLE;23;6'2;4.7;0;0;0;0.3;0.5;50;0;0.8;0;0;0;0;0.5;0;0.8;0.3;0;0.5;0.3;0.8;0;0.5;8;7.5
Matt Thomas;TOR;25;6'4;10.7;0.2;0.5;0.4;0.5;0.8;57.6;1.3;2.6;48.25;0.1;0.1;75;4.9;0.2;1.3;0.5;0.4;0.2;0;0.9;0;1.9;15.2;9.3
Matthew Dellavedova;CLE;29;6'3;14.4;0.6;1.4;0.429;0.1;0.1;37.5;0.4;1.7;25.225;0.1;0.2;66.7;3.1;0.3;1;3.2;1;0.4;0;3.3;0.2;1.2;12.8;5.9
Maurice Harkless;NYK;27;6'7;23;1.6;2.8;0.571;0.1;0.2;45.5;0.5;1.7;33.3;0.1;0.2;50;5.8;0.9;3;1.1;0.9;0.9;0.5;1.9;0.3;1.5;10.5;5.9
Max Strus;CHI;24;6'5;3.1;1;1;1;0;0;0;0;0.5;0;0;0;0;2.5;0.5;0;0;0;0;0;0;0;0.5;15.8;12.3
Maxi Kleber;DAL;28;6'10;25.5;1.5;2.5;0.6;0.1;0.2;43.8;1.7;4.3;37.9;0.2;0.2;93.8;9.1;1.5;3.7;1.2;0.8;0.3;1.1;1.1;0.2;4.1;13.4;8.2
Melvin Frazier Jr.;ORL;23;6'5;6.6;0.4;0.8;0.5;0.1;0.4;28.6;0.6;1.3;36.675;0;0;0;2.1;0.1;0.4;0.2;0.3;0.5;0.1;0.4;0;0.7;12.9;5.4
Meyers Leonard;MIA;28;7'0;20.3;1.3;1.8;0.722;0;0.2;18.2;1.1;2.5;41.675;0;0;50;6.1;0.6;4.5;1.1;0.8;0.3;0.3;0.7;0.6;2.3;12.1;8.5
